Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,TitleWordCount
The Theory of H(b) Spaces: Volume 2,"Emmanuel Fricain, Javad Mashreghi",Cambridge University Press,2016-10-20,9781316351925,641,Mathematics,5.0,1,en,7
The Story of B,Daniel Quinn,Bantam,2010-01-13,9780307575234,350,Fiction,4.5,16,en,4
So B. It,Sarah Weeks,Zondervan,2009-10-20,9780061978777,276,Juvenile Fiction,2.0,3,en,3
"Ramble Book: Musings on Childhood, Friendship, Family and 80s Pop Culture",Adam Buxton,HarperCollins UK,2020-09-03,9780008293352,348,Biography & Autobiography,5.0,1,en,11
Jumping the Scratch,Sarah Weeks,Harper Collins,2009-10-20,9780061978791,196,Juvenile Fiction,5.0,1,en,3
"""B"" Is for Betsy",Carolyn Haywood,HarperCollins,2004-05-01,9780547671338,147,Juvenile Fiction,4.0,3,en,4
"Foundation:B-boys, B-girls and Hip-Hop Culture in New York",Joseph G. Schloss,"Oxford University Press, USA",2009-03-05,9780195334050,192,Performing Arts,5.0,1,en,8
Holy Bible (NIV),"Various Authors,",Zondervan,2008-09-02,9780310294146,6793,Bibles,5.0,2,en,3
Plan B,Pete Wilson,Grupo Nelson,2011-05-30,9781418584672,257,Religion,4.5,11,en,2
B is for Baller,James Littlejohn,Triumph Books,2018-10-02,9781641251068,34,Juvenile Nonfiction,5.0,1,en,4
Thinking in C++,Bruce Eckel,Pearson,2000-01-01,9780139798092,834,Computers,4.5,18,en,3
Originals,Adam Grant,Penguin,2017-02-07,9780143128854,353,Business & Economics,3.0,1,en,1
Lean In,Sheryl Sandberg,Knopf,2013-03-11,9780385349956,241,Biography & Autobiography,4.0,10,en,2
Soof,Sarah Weeks,Scholastic Inc.,2018-10-09,9780545846691,113,Juvenile Fiction,5.0,1,en,1
Apollo's Angels,Jennifer Homans,Random House,2010-11-02,9780679603900,640,Performing Arts,5.0,1,en,2
The Unspoken Name,A. K. Larkwood,Tor Books,2020-02-11,9781250238917,442,Fiction,5.0,1,en,3
Reluctant Capitalists,Laura J. Miller,University of Chicago Press,2008-09-15,9780226525921,328,Social Science,5.0,1,en,2
Stellaluna,Janell Cannon,Houghton Mifflin Harcourt,2007-01-01,9780152062873,44,Juvenile Nonfiction,4.5,4,en,1
Beastly: Lindy's Diary,Alex Flinn,Harper Collins,2012-01-31,9780062117427,341,Young Adult Fiction,5.0,1,en,3
Goodnight Moon,Margaret Wise Brown,HarperCollins,2016-11-08,9780062662897,34,Juvenile Fiction,3.5,2,en,2
The Sun Is Also a Star,Nicola Yoon,Penguin,2016-11-01,9780385683692,240,Young Adult Fiction,4.5,2,en,6
Alfred's Basic Adult Piano Course,"Willard A. Palmer, Morton Manus, Amanda Vick Lethco",Alfred Music Publishing,,9780739010037,100,Music,4.0,1,en,5
Big Red Barn Board Book,Margaret Wise Brown,Harper Collins,1995-01-06,9780694006243,33,Juvenile Fiction,5.0,1,en,5
The Invention of Hugo Cabret,Brian Selznick,Scholastic,2015-09-03,9781407166575,264,Juvenile Fiction,4.0,5,en,5
So B. It,Sarah Weeks,Harper Collins,2005-10-04,9780064410472,276,Juvenile Fiction,4.5,48,en,3
The Very Hungry Caterpillar,Eric Carle,Penguin,2016-11-22,9781524739553,30,Juvenile Fiction,4.0,3,en,4
Give and Take,Adam Grant,Penguin,2014-03-25,9780143124986,321,Business & Economics,5.0,1,en,3
The Plotters,Un-su Kim,Anchor,2019-01-29,9780385544399,270,Fiction,4.5,2,en,2
The Type,Sarah Kay,Hachette Books,2016-02-09,9780316386616,51,Poetry,5.0,1,en,2
The Well,Catherine Chanter,Canongate Books,2015-03-05,9781782114659,410,Fiction,5.0,1,en,2
Back to Blood,Tom Wolfe,"Little, Brown",2012-10-23,9780316214582,407,Fiction,2.5,4,en,3
Sundial,Catriona Ward,Tor Nightfire,2022-03-01,9781250812698,286,Fiction,4.0,1,en,1
The Doughnut Fix,Jessie Janowitz,"Sourcebooks, Inc.",2018-04-03,9781492655428,258,Juvenile Fiction,5.0,3,en,3
HT THINK LIKE A COMPUTER SCIEN,"Jeffrey Elkner, Allen B. Downey, Chris Meyers",Samurai Media Limited,2016-10-04,9789888406784,306,Computers,5.0,1,en,6
Birth of a Killer,Darren Shan,"Little, Brown Books for Young Readers",2010-10-05,9780316129145,129,Young Adult Fiction,3.5,13,en,4
The Story of B,Daniel Quinn,Bantam,1997-01-01,9780553379013,325,Fiction,4.0,1,en,4
Peace Process,William B. Quandt,Univ of California Press,2005-01-01,9780520246317,558,History,5.0,1,en,2
The Authorized Left Behind Handbook,"Tim LaHaye, Jerry B. Jenkins, Sandi Swanson","Tyndale House Publishers, Inc.",2005-01-01,9780842354400,350,Fiction,5.0,2,en,5
